X_(Angstroms),Y_(Angstroms),rho/rho_uniforme
-17.821782,1.188119,1.598366
-17.821782,1.584158,0.908437
-17.821782,1.980198,1.156251
-17.821782,2.376238,0.177738
-17.821782,2.772277,0.001274
-17.821782,3.168317,0.000000
-17.821782,3.564356,0.000000
-17.821782,3.960396,0.000000
-17.821782,4.356436,0.000000
-17.821782,4.752475,0.002548
-17.821782,5.148515,0.029304
-17.821782,5.544554,0.066253
-17.821782,5.940594,0.198760
-17.821782,6.336634,1.000173
-17.821782,6.732673,1.959575
-17.821782,7.128713,0.375861
-17.821782,7.524752,0.103203
-17.821782,7.920792,0.144611
-17.821782,8.316832,0.014652
-17.821782,8.712871,0.000000
-17.821782,9.108911,0.000000
-17.821782,9.504950,0.000000
-17.821782,9.900990,0.000000
-17.821782,10.297030,0.000000
-17.821782,10.693069,0.000000
-17.821782,11.089109,0.000000
-17.821782,11.485149,0.000000
-17.821782,11.881188,0.000000
-17.821782,12.277228,0.000000
-17.821782,12.673267,0.000000
-17.821782,13.069307,0.000000
-17.821782,13.465347,0.000000
-17.821782,13.861386,0.000000
-17.821782,14.257426,0.000000
-17.821782,14.653465,0.000000
-17.821782,15.049505,0.000000
-17.821782,15.445545,0.000000
-17.821782,15.841584,0.000000
-17.821782,16.237624,0.000000
-17.821782,16.633663,0.000000
-17.821782,17.029703,0.000000
-17.821782,17.425743,0.000000
-17.821782,17.821782,0.000000
-17.821782,18.217822,0.000000
-17.821782,18.613861,0.000000
-17.821782,19.009901,0.000000
-17.821782,19.405941,0.000000
-17.821782,19.801980,0.000000
-17.425743,-19.801980,0.000000
-17.425743,-19.405941,0.000000
-17.425743,-19.009901,0.000000
-17.425743,-18.613861,0.000000
-17.425743,-18.217822,0.000000
-17.425743,-17.821782,0.000000
-17.425743,-17.425743,0.000000
-17.425743,-17.029703,0.000000
-17.425743,-16.633663,0.000000
-17.425743,-16.237624,0.000000
-17.425743,-15.841584,0.000000
-17.425743,-15.445545,0.000000
-17.425743,-15.049505,0.000000
-17.425743,-14.653465,0.000000
-17.425743,-14.257426,0.000000
-17.425743,-13.861386,0.000000
-17.425743,-13.465347,0.000000
-17.425743,-13.069307,0.000000
-17.425743,-12.673267,0.000000
-17.425743,-12.277228,0.000000
-17.425743,-11.881188,0.000000
-17.425743,-11.485149,0.000000
-17.425743,-11.089109,0.000000
-17.425743,-10.693069,0.182834
-17.425743,-10.297030,2.218855
-17.425743,-9.900990,6.262867
-17.425743,-9.504950,1.593906
-17.425743,-9.108911,0.021023
-17.425743,-8.712871,0.000000
-17.425743,-8.316832,0.000000
-17.425743,-7.920792,0.000000
-17.425743,-7.524752,0.000000
-17.425743,-7.128713,0.007645
-17.425743,-6.732673,0.102566
-17.425743,-6.336634,0.229976
-17.425743,-5.940594,0.440204
-17.425743,-5.544554,1.160073
-17.425743,-5.148515,3.313949
-17.425743,-4.752475,2.373022
-17.425743,-4.356436,0.458041
-17.425743,-3.960396,0.415358
-17.425743,-3.564356,0.059883
-17.425743,-3.168317,0.000637
-17.425743,-2.772277,0.000000
-17.425743,-2.376238,0.000000
-17.425743,-1.980198,0.000000
-17.425743,-1.584158,0.002548
-17.425743,-1.188119,0.092373
-17.425743,-0.792079,0.431922
-17.425743,-0.396040,0.529391
-17.425743,0.000000,0.823709
-17.425743,0.396040,1.460762
-17.425743,0.792079,2.470491
-17.425743,1.188119,0.640875
-17.425743,1.584158,0.006371
-17.425743,1.980198,0.000637
-17.425743,2.376238,0.000000
-17.425743,2.772277,0.000000
-17.425743,3.168317,0.000000
-17.425743,3.564356,0.000000
-17.425743,3.960396,0.007008
-17.425743,4.356436,0.024208
-17.425743,4.752475,0.461226
-17.425743,5.148515,1.209126
-17.425743,5.544554,1.215497
-17.425743,5.940594,1.367115
-17.425743,6.336634,1.770370
-17.425743,6.732673,1.626396
-17.425743,7.128713,0.145248
-17.425743,7.524752,0.000000
-17.425743,7.920792,0.000000
-17.425743,8.316832,0.000000
-17.425743,8.712871,0.000000
-17.425743,9.108911,0.003822
-17.425743,9.504950,0.148433
-17.425743,9.900990,1.102738
-17.425743,10.297030,0.241443
-17.425743,10.693069,0.000000
-17.425743,11.089109,0.000000
-17.425743,11.485149,0.000000
-17.425743,11.881188,0.000000
-17.425743,12.277228,0.000000
-17.425743,12.673267,0.000000
-17.425743,13.069307,0.000000
-17.425743,13.465347,0.000000
-17.425743,13.861386,0.000000
-17.425743,14.257426,0.000000
-17.425743,14.653465,0.000000
-17.425743,15.049505,0.000000
-17.425743,15.445545,0.000000
-17.425743,15.841584,0.000000
-17.425743,16.237624,0.000000
-17.425743,16.633663,0.000000
-17.425743,17.029703,0.000000
-17.425743,17.425743,0.000000
-17.425743,17.821782,0.000000
-17.425743,18.217822,0.000000
-17.425743,18.613861,0.000000
-17.425743,19.009901,0.000000
-17.425743,19.405941,0.000000
-17.425743,19.801980,0.000000
-17.029703,-19.801980,0.000000
-17.029703,-19.405941,0.000000
-17.029703,-19.009901,0.000000
-17.029703,-18.613861,0.000000
-17.029703,-18.217822,0.000000
-17.029703,-17.821782,0.000000
-17.029703,-17.425743,0.000000
-17.029703,-17.029703,0.000000
-17.029703,-16.633663,0.000000
-17.029703,-16.237624,0.000000
-17.029703,-15.841584,0.000000
-17.029703,-15.445545,0.000000
-17.029703,-15.049505,0.000000
-17.029703,-14.653465,0.000000
-17.029703,-14.257426,0.000000
-17.029703,-13.861386,0.000000
-17.029703,-13.465347,0.000000
-17.029703,-13.069307,0.000000
-17.029703,-12.673267,0.000000
-17.029703,-12.277228,0.000000
-17.029703,-11.881188,0.000000
-17.029703,-11.485149,0.000000
-17.029703,-11.089109,0.223606
-17.029703,-10.693069,0.663809
-17.029703,-10.297030,0.204494
-17.029703,-9.900990,0.198123
-17.029703,-9.504950,0.040134
-17.029703,-9.108911,0.000000
-17.029703,-8.712871,0.000000
-17.029703,-8.316832,0.000000
-17.029703,-7.920792,0.000000
-17.029703,-7.524752,0.000637
-17.029703,-7.128713,0.342097
-17.029703,-6.732673,2.713845
-17.029703,-6.336634,2.022643
-17.029703,-5.940594,1.463310
-17.029703,-5.544554,1.083627
-17.029703,-5.148515,0.652342
-17.029703,-4.752475,0.196212
-17.029703,-4.356436,0.004459
-17.029703,-3.960396,0.000637
-17.029703,-3.564356,0.000000
-17.029703,-3.168317,0.000000
-17.029703,-2.772277,0.000000
-17.029703,-2.376238,0.000000
-17.029703,-1.980198,0.011467
-17.029703,-1.584158,0.040134
-17.029703,-1.188119,1.770370
-17.029703,-0.792079,4.239587
-17.029703,-0.396040,1.786296
-17.029703,0.000000,1.164533
-17.029703,0.396040,0.837087
-17.029703,0.792079,0.628771
-17.029703,1.188119,0.113395
-17.029703,1.584158,0.000000
-17.029703,1.980198,0.000000
-17.029703,2.376238,0.000000
-17.029703,2.772277,0.000000
-17.029703,3.168317,0.001274
-17.029703,3.564356,0.149070
-17.029703,3.960396,1.759540
-17.029703,4.356436,2.789017
-17.029703,4.752475,7.052812
-17.029703,5.148515,7.002485
-17.029703,5.544554,1.209763
-17.029703,5.940594,0.578444
-17.029703,6.336634,0.510279
-17.029703,6.732673,0.334453
-17.029703,7.128713,0.021023
-17.029703,7.524752,0.000000
-17.029703,7.920792,0.000000
-17.029703,8.316832,0.000000
-17.029703,8.712871,0.000000
-17.029703,9.108911,0.018475
-17.029703,9.504950,0.888052
-17.029703,9.900990,4.869632
-17.029703,10.297030,5.736661
-17.029703,10.693069,4.013433
-17.029703,11.089109,0.004459
-17.029703,11.485149,0.000000
-17.029703,11.881188,0.000000
-17.029703,12.277228,0.000000
-17.029703,12.673267,0.000000
-17.029703,13.069307,0.000000
-17.029703,13.465347,0.000000
-17.029703,13.861386,0.000000
-17.029703,14.257426,0.000000
-17.029703,14.653465,0.000000
-17.029703,15.049505,0.000000
-17.029703,15.445545,0.000000
-17.029703,15.841584,0.000000
-17.029703,16.237624,0.000000
-17.029703,16.633663,0.000000
-17.029703,17.029703,0.000000
-17.029703,17.425743,0.000000
-17.029703,17.821782,0.000000
-17.029703,18.217822,0.000000
-17.029703,18.613861,0.000000
-17.029703,19.009901,0.000000
-17.029703,19.405941,0.000000
-17.029703,19.801980,0.000000
-16.633663,-19.801980,0.000000
-16.633663,-19.405941,0.000000
-16.633663,-19.009901,0.000000
-16.633663,-18.613861,0.000000
-16.633663,-18.217822,0.000000
-16.633663,-17.821782,0.000000
-16.633663,-17.425743,0.000000
-16.633663,-17.029703,0.000000
-16.633663,-16.633663,0.000000
-16.633663,-16.237624,0.000000
-16.633663,-15.841584,0.000000
-16.633663,-15.445545,0.000000
-16.633663,-15.049505,0.000000
-16.633663,-14.653465,0.000000
-16.633663,-14.257426,0.000000
-16.633663,-13.861386,0.000000
-16.633663,-13.465347,0.000000
-16.633663,-13.069307,0.000000
-16.633663,-12.673267,0.000000
-16.633663,-12.277228,0.000000
-16.633663,-11.881188,0.007008
-16.633663,-11.485149,0.069439
-16.633663,-11.089109,0.083454
-16.633663,-10.693069,0.017200
-16.633663,-10.297030,0.000000
-16.633663,-9.900990,0.000000
-16.633663,-9.504950,0.000000
-16.633663,-9.108911,0.000000
-16.633663,-8.712871,0.000000
-16.633663,-8.316832,0.001274
-16.633663,-7.920792,0.054149
-16.633663,-7.524752,0.126774
